GL Account,Description,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
1000,Cash – Operating,750000.0,750000.0,750000.0,750000.0,750000.0,750000.0,750000.0,750000.0,750000.0,750000.0,750000.0,750000.0,780000.0,780000.0,780000.0,780000.0,780000.0,780000.0,780000.0,780000.0,780000.0,780000.0,780000.0,780000.0
1010,Cash – Reserve,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,52000.0,52000.0,52000.0,52000.0,52000.0,52000.0,52000.0,52000.0,52000.0,52000.0,52000.0,52000.0
1030,A/R – Tenants,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,88400.0,88400.0,88400.0,88400.0,88400.0,88400.0,88400.0,88400.0,88400.0,88400.0,88400.0,88400.0
1040,Allowance for Doubtful A/R,-5000.0,-5000.0,-5000.0,-5000.0,-5000.0,-5000.0,-5000.0,-5000.0,-5000.0,-5000.0,-5000.0,-5000.0,-5200.0,-5200.0,-5200.0,-5200.0,-5200.0,-5200.0,-5200.0,-5200.0,-5200.0,-5200.0,-5200.0,-5200.0
1050,Prepaid Expenses,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,62400.0,62400.0,62400.0,62400.0,62400.0,62400.0,62400.0,62400.0,62400.0,62400.0,62400.0,62400.0
1060,Escrow Deposits,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,93600.0,93600.0,93600.0,93600.0,93600.0,93600.0,93600.0,93600.0,93600.0,93600.0,93600.0,93600.0
1200,Land,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2080000.0,2080000.0,2080000.0,2080000.0,2080000.0,2080000.0,2080000.0,2080000.0,2080000.0,2080000.0,2080000.0,2080000.0
1210,Building,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,12480000.0,12480000.0,12480000.0,12480000.0,12480000.0,12480000.0,12480000.0,12480000.0,12480000.0,12480000.0,12480000.0,12480000.0
1220,Building Improvements,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1040000.0,1040000.0,1040000.0,1040000.0,1040000.0,1040000.0,1040000.0,1040000.0,1040000.0,1040000.0,1040000.0,1040000.0
1300,Accumulated Depreciation,-4000000.0,-4000000.0,-4000000.0,-4000000.0,-4000000.0,-4000000.0,-4000000.0,-4000000.0,-4000000.0,-4000000.0,-4000000.0,-4000000.0,-4160000.0,-4160000.0,-4160000.0,-4160000.0,-4160000.0,-4160000.0,-4160000.0,-4160000.0,-4160000.0,-4160000.0,-4160000.0,-4160000.0
1400,Intangible Assets,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,156000.0,156000.0,156000.0,156000.0,156000.0,156000.0,156000.0,156000.0,156000.0,156000.0,156000.0,156000.0
2000,Accounts Payable,-250000.0,-250000.0,-250000.0,-250000.0,-250000.0,-250000.0,-250000.0,-250000.0,-250000.0,-250000.0,-250000.0,-250000.0,-260000.0,-260000.0,-260000.0,-260000.0,-260000.0,-260000.0,-260000.0,-260000.0,-260000.0,-260000.0,-260000.0,-260000.0
2010,Accrued Expenses,-170000.0,-170000.0,-170000.0,-170000.0,-170000.0,-170000.0,-170000.0,-170000.0,-170000.0,-170000.0,-170000.0,-170000.0,-176800.0,-176800.0,-176800.0,-176800.0,-176800.0,-176800.0,-176800.0,-176800.0,-176800.0,-176800.0,-176800.0,-176800.0
2020,Security Deposits Payable,-340000.0,-340000.0,-340000.0,-340000.0,-340000.0,-340000.0,-340000.0,-340000.0,-340000.0,-340000.0,-340000.0,-340000.0,-353600.0,-353600.0,-353600.0,-353600.0,-353600.0,-353600.0,-353600.0,-353600.0,-353600.0,-353600.0,-353600.0,-353600.0
2040,Current LT Debt,-300000.0,-300000.0,-300000.0,-300000.0,-300000.0,-300000.0,-300000.0,-300000.0,-300000.0,-300000.0,-300000.0,-300000.0,-312000.0,-312000.0,-312000.0,-312000.0,-312000.0,-312000.0,-312000.0,-312000.0,-312000.0,-312000.0,-312000.0,-312000.0
2100,Long‑Term Debt,-7000000.0,-7000000.0,-7000000.0,-7000000.0,-7000000.0,-7000000.0,-7000000.0,-7000000.0,-7000000.0,-7000000.0,-7000000.0,-7000000.0,-7280000.0,-7280000.0,-7280000.0,-7280000.0,-7280000.0,-7280000.0,-7280000.0,-7280000.0,-7280000.0,-7280000.0,-7280000.0,-7280000.0
2300,Deferred Revenue,-120000.0,-120000.0,-120000.0,-120000.0,-120000.0,-120000.0,-120000.0,-120000.0,-120000.0,-120000.0,-120000.0,-120000.0,-124800.0,-124800.0,-124800.0,-124800.0,-124800.0,-124800.0,-124800.0,-124800.0,-124800.0,-124800.0,-124800.0,-124800.0
3000,Partner Capital,3500000.0,3500000.0,3500000.0,3500000.0,3500000.0,3500000.0,3500000.0,3500000.0,3500000.0,3500000.0,3500000.0,3500000.0,3640000.0,3640000.0,3640000.0,3640000.0,3640000.0,3640000.0,3640000.0,3640000.0,3640000.0,3640000.0,3640000.0,3640000.0
3100,Retained Earnings,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,624000.0,624000.0,624000.0,624000.0,624000.0,624000.0,624000.0,624000.0,624000.0,624000.0,624000.0,624000.0
3200,Current Year Earnings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
